"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.190.102.251","128.135.24.73","TCP","78","59654  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2912441419 TSecr=0 SACK_PERM"
"2","0.002158","10.190.102.251","128.135.24.73","TCP","78","59655  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1468237115 TSecr=0 SACK_PERM"
"3","0.097909","128.135.24.73","10.190.102.251","TCP","66","443  >  59654 [SYN, ACK, ECE] Seq=0 Ack=1 Win=64240 Len=0 MSS=1200 SACK_PERM WS=128"
"4","0.097912","128.135.24.73","10.190.102.251","TCP","66","443  >  59655 [SYN, ACK, ECE] Seq=0 Ack=1 Win=64240 Len=0 MSS=1200 SACK_PERM WS=128"
"5","0.098173","10.190.102.251","128.135.24.73","TCP","54","59654  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"6","0.098267","10.190.102.251","128.135.24.73","TCP","54","59655  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"7","0.098506","10.190.102.251","128.135.24.73","TCP","1254","59654  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1200 [TCP PDU reassembled in 8]"
"8","0.098520","10.190.102.251","128.135.24.73","TLSv1.2","621","Client Hello (SNI=www.cs.uchicago.edu)"
"9","0.098800","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1200 [TCP PDU reassembled in 10]"
"10","0.098806","10.190.102.251","128.135.24.73","TLSv1.2","589","Client Hello (SNI=www.cs.uchicago.edu)"
"11","0.194009","128.135.24.73","10.190.102.251","TCP","56","443  >  59654 [ACK] Seq=1 Ack=1768 Win=63616 Len=0"
"12","0.194011","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=1 Ack=1736 Win=63360 Len=0"
"13","0.194249","128.135.24.73","10.190.102.251","TLSv1.2","1254","Server Hello"
"14","0.194250","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [PSH, ACK] Seq=1201 Ack=1736 Win=64128 Len=1200 [TCP PDU reassembled in 17]"
"15","0.194311","10.190.102.251","128.135.24.73","TCP","54","59655  >  443 [ACK] Seq=1736 Ack=2401 Win=259776 Len=0"
"16","0.194917","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=2401 Ack=1736 Win=64128 Len=1200 [TCP PDU reassembled in 17]"
"17","0.194918","128.135.24.73","10.190.102.251","TLSv1.2","226","Certificate, Server Key Exchange, Server Hello Done"
"18","0.194919","128.135.24.73","10.190.102.251","TLSv1.2","1254","Server Hello"
"19","0.194920","128.135.24.73","10.190.102.251","TCP","1254","443  >  59654 [PSH, ACK] Seq=1201 Ack=1768 Win=64128 Len=1200 [TCP PDU reassembled in 21]"
"20","0.194921","128.135.24.73","10.190.102.251","TCP","1254","443  >  59654 [ACK] Seq=2401 Ack=1768 Win=64128 Len=1200 [TCP PDU reassembled in 21]"
"21","0.194922","128.135.24.73","10.190.102.251","TLSv1.2","226","Certificate, Server Key Exchange, Server Hello Done"
"22","0.194965","10.190.102.251","128.135.24.73","TCP","54","59655  >  443 [ACK] Seq=1736 Ack=3773 Win=260800 Len=0"
"23","0.194987","10.190.102.251","128.135.24.73","TCP","54","59654  >  443 [ACK] Seq=1768 Ack=3773 Win=258432 Len=0"
"24","0.195533","10.190.102.251","128.135.24.73","TCP","54","[TCP Window Update] 59654  >  443 [ACK] Seq=1768 Ack=3773 Win=262144 Len=0"
"25","0.199337","10.190.102.251","128.135.24.73","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"26","0.199640","10.190.102.251","128.135.24.73","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"27","0.199709","10.190.102.251","128.135.24.73","TCP","54","59654  >  443 [FIN, ACK] Seq=1861 Ack=3773 Win=262144 Len=0"
"28","0.199887","10.190.102.251","128.135.24.73","TLSv1.2","153","Application Data"
"29","0.199974","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=1928 Ack=3773 Win=262144 Len=1200 [TCP PDU reassembled in 31]"
"30","0.199975","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=3128 Ack=3773 Win=262144 Len=1200 [TCP PDU reassembled in 31]"
"31","0.199979","10.190.102.251","128.135.24.73","TLSv1.2","903","Application Data"
"32","0.294089","128.135.24.73","10.190.102.251","TLSv1.2","328","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"33","0.294091","128.135.24.73","10.190.102.251","TLSv1.2","123","Application Data"
"34","0.294230","10.190.102.251","128.135.24.73","TCP","54","59655  >  443 [ACK] Seq=5177 Ack=4116 Win=261824 Len=0"
"35","0.294361","10.190.102.251","128.135.24.73","TLSv1.2","92","Application Data"
"36","0.294909","128.135.24.73","10.190.102.251","TLSv1.2","92","Application Data"
"37","0.294911","128.135.24.73","10.190.102.251","TLSv1.2","328","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"38","0.294943","10.190.102.251","128.135.24.73","TCP","54","59655  >  443 [ACK] Seq=5215 Ack=4154 Win=262144 Len=0"
"39","0.294990","10.190.102.251","128.135.24.73","TCP","54","59654  >  443 [RST] Seq=1862 Win=0 Len=0"
"40","0.295523","128.135.24.73","10.190.102.251","TCP","56","443  >  59654 [FIN, ACK] Seq=4047 Ack=1862 Win=64128 Len=0"
"41","0.295525","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=4154 Ack=5177 Win=64128 Len=0"
"42","0.295567","10.190.102.251","128.135.24.73","TCP","54","59654  >  443 [RST] Seq=1862 Win=0 Len=0"
"43","0.296776","128.135.24.73","10.190.102.251","TLSv1.2","361","Application Data"
"44","0.296811","10.190.102.251","128.135.24.73","TCP","54","59655  >  443 [ACK] Seq=5215 Ack=4461 Win=261888 Len=0"
"45","0.412502","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=5215 Ack=4461 Win=262144 Len=1200 [TCP PDU reassembled in 47]"
"46","0.412506","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=6415 Ack=4461 Win=262144 Len=1200 [TCP PDU reassembled in 47]"
"47","0.412528","10.190.102.251","128.135.24.73","TLSv1.2","900","Application Data"
"48","0.435500","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=4461 Ack=5215 Win=64128 Len=0"
"49","0.507098","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=4461 Ack=6415 Win=64128 Len=0"
"50","0.507102","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=4461 Ack=7615 Win=63616 Len=0"
"51","0.507687","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=4461 Ack=8461 Win=62848 Len=0"
"52","1.023436","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=4461 Ack=8461 Win=64128 Len=1200 [TCP PDU reassembled in 67]"
"53","1.023440","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [PSH, ACK] Seq=5661 Ack=8461 Win=64128 Len=1200 [TCP PDU reassembled in 67]"
"54","1.023442","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=6861 Ack=8461 Win=64128 Len=1200 [TCP PDU reassembled in 67]"
"55","1.023445","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [PSH, ACK] Seq=8061 Ack=8461 Win=64128 Len=1200 [TCP PDU reassembled in 67]"
"56","1.023447","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=9261 Ack=8461 Win=64128 Len=1200 [TCP PDU reassembled in 67]"
"57","1.023449","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [PSH, ACK] Seq=10461 Ack=8461 Win=64128 Len=1200 [TCP PDU reassembled in 67]"
"58","1.023452","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=11661 Ack=8461 Win=64128 Len=1200 [TCP PDU reassembled in 67]"
"59","1.023454","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [PSH, ACK] Seq=12861 Ack=8461 Win=64128 Len=1200 [TCP PDU reassembled in 67]"
